index_page,title,state,declaration_string,posted_date,posted_year,report_type,url,filename,local_path,status
19,Georgia; FEMA-4579-DR,Georgia,FEMA-4579-DR,2021-02-10T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4579DR-GA.pdf,PDAReport_FEMA4579DR-GA.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4579DR-GA.pdf,downloaded
19,Utah; FEMA-4578-DR,Utah,FEMA-4578-DR,2021-02-10T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4578DR-UT.pdf,PDAReport_FEMA4578DR-UT.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4578DR-UT.pdf,downloaded
19,Louisiana; FEMA-4577-DR,Louisiana,FEMA-4577-DR,2021-02-10T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4577DR-LA.pdf,PDAReport_FEMA4577DR-LA.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4577DR-LA.pdf,downloaded
19,Mississippi; FEMA-4576-DR,Mississippi,FEMA-4576-DR,2021-01-29T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4576DR-MS.pdf,PDAReport_FEMA4576DR-MS.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4576DR-MS.pdf,downloaded
20,Oklahoma; FEMA-4575-DR,Oklahoma,FEMA-4575-DR,2021-01-19T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4575DR-OK.pdf,PDAReport_FEMA4575DR-OK.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4575DR-OK.pdf,downloaded
20,New Jersey; FEMA-4574-DR,New Jersey,FEMA-4574-DR,2021-01-08T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4574DR-NJ.pdf,PDAReport_FEMA4574DR-NJ.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4574DR-NJ.pdf,downloaded
20,Alabama; FEMA-4573-DR,Alabama,FEMA-4573-DR,2021-01-08T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4573DR-AL.pdf,PDAReport_FEMA4573DR-AL.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4573DR-AL.pdf,downloaded
20,Texas; FEMA-4572-DR,Texas,FEMA-4572-DR,2021-01-07T12:00:00Z,2021,MajorDisaster,https://www.fema.gov/sites/default/files/documents/PDAReport_FEMA4572DR-TX.pdf,PDAReport_FEMA4572DR-TX.pdf,data/pdfs/MajorDisaster/2021/PDAReport_FEMA4572DR-TX.pdf,downloaded
20,Mississippi; Tropical Storm Cristobal - Denial of Appeal,Mississippi,Tropical Storm Cristobal - Denial of Appeal,2020-12-17T12:00:00Z,2020,AppealDenials,https://www.fema.gov/sites/default/files/documents/PDAReport_AppealDenial-MS.pdf,PDAReport_AppealDenial-MS.pdf,data/pdfs/AppealDenials/2020/PDAReport_AppealDenial-MS.pdf,downloaded
20,Pennsylvania; Tropical Storm Isaias - Denial,Pennsylvania,Tropical Storm Isaias - Denial,2020-12-17T12:00:00Z,2020,Denials,https://www.fema.gov/sites/default/files/documents/PDAReport_Denial-PA.pdf,PDAReport_Denial-PA.pdf,data/pdfs/Denials/2020/PDAReport_Denial-PA.pdf,downloaded
