state_abbr,name,party,term_start,term_end,source_url
TN,Bill Lee,Republican,2019-01-19,,https://en.wikipedia.org/wiki/List_of_governors_of_Tennessee
TX,Rick Perry,Republican,2000-12-21,2015-01-20,https://en.wikipedia.org/wiki/List_of_governors_of_Texas
TX,Greg Abbott,Republican,2015-01-20,,https://en.wikipedia.org/wiki/List_of_governors_of_Texas
UT,Jon Huntsman Jr.,Republican,2005-01-03,2009-08-11,https://en.wikipedia.org/wiki/List_of_governors_of_Utah
UT,Gary Herbert,Republican,2009-08-11,2021-01-04,https://en.wikipedia.org/wiki/List_of_governors_of_Utah
UT,Spencer Cox,Republican,2021-01-04,,https://en.wikipedia.org/wiki/List_of_governors_of_Utah
VT,Jim Douglas,Republican,2003-01-09,2011-01-06,https://en.wikipedia.org/wiki/List_of_governors_of_Vermont
VT,Peter Shumlin,Democratic,2011-01-06,2017-01-05,https://en.wikipedia.org/wiki/List_of_governors_of_Vermont
VT,Phil Scott,Republican,2017-01-05,,https://en.wikipedia.org/wiki/List_of_governors_of_Vermont
VA,Tim Kaine,Democratic,2006-01-14,2010-01-16,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia
VA,Bob McDonnell,Republican,2010-01-16,2014-01-11,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia
VA,Terry McAuliffe,Democratic,2014-01-11,2018-01-13,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia
VA,Ralph Northam,Democratic,2018-01-13,2022-01-15,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia
VA,Glenn Youngkin,Republican,2022-01-15,2026-01-17,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia
VA,Abigail Spanberger,Democratic,2026-01-17,,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia
WA,Christine Gregoire,Democratic,2005-01-12,2013-01-16,https://en.wikipedia.org/wiki/List_of_governors_of_Washington
WA,Jay Inslee,Democratic,2013-01-16,2025-01-15,https://en.wikipedia.org/wiki/List_of_governors_of_Washington
WA,Bob Ferguson,Democratic,2025-01-15,,https://en.wikipedia.org/wiki/List_of_governors_of_Washington
WV,Joe Manchin,Democratic,2005-01-17,2010-11-15,https://en.wikipedia.org/wiki/List_of_governors_of_West_Virginia
WV,Earl Ray Tomblin,Democratic,2010-11-15,2017-01-16,https://en.wikipedia.org/wiki/List_of_governors_of_West_Virginia
WV,Jim Justice,Democratic,2017-01-16,2017-08-03,https://en.wikipedia.org/wiki/List_of_governors_of_West_Virginia
WV,Jim Justice,Republican,2017-08-03,2025-01-13,https://en.wikipedia.org/wiki/List_of_governors_of_West_Virginia
WV,Patrick Morrisey,Republican,2025-01-13,,https://en.wikipedia.org/wiki/List_of_governors_of_West_Virginia
WI,Jim Doyle,Democratic,2003-01-06,2011-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_Wisconsin
WI,Scott Walker,Republican,2011-01-03,2019-01-07,https://en.wikipedia.org/wiki/List_of_governors_of_Wisconsin
WI,Tony Evers,Democratic,2019-01-07,,https://en.wikipedia.org/wiki/List_of_governors_of_Wisconsin
WY,Dave Freudenthal,Democratic,2003-01-06,2011-01-03,https://en.wikipedia.org/wiki/List_of_governors_of_Wyoming
